Month	WeekOfMonth	DayOfWeek	Make	AccidentArea	DayOfWeekClaimed	MonthClaimed	WeekOfMonthClaimed	Sex	MaritalStatus	Age	Fault	PolicyType	VehicleCategory	VehiclePrice	FraudFound	PolicyNumber	RepNumber	Deductible	DriverRating	Days:Policy-Accident	Days:Policy-Claim	PastNumberOfClaims	AgeOfVehicle	AgeOfPolicyHolder	PoliceReportFiled	WitnessPresent	AgentType	NumberOfSuppliments	AddressChange-Claim	NumberOfCars	Year	BasePolicy
Dec	5	Wednesday	Honda	Urban	Tuesday	Jan	1	Female	Single	21	Policy Holder	Sport - Liability	Sport	"more than 69,000"	No	1	12	300	1	more than 30	more than 30	none	3 years	26 to 30	No	No	External	none	1 year	3 to 4	1994	Liability
Jan	3	Wednesday	Honda	Urban	Monday	Jan	4	Male	Single	34	Policy Holder	Sport - Collision	Sport	"more than 69,000"	No	2	15	400	4	more than 30	more than 30	none	6 years	31 to 35	Yes	No	External	none	no change	1 vehicle	1994	Collision
Oct	5	Friday	Honda	Urban	Thursday	Nov	2	Male	Married	47	Policy Holder	Sport - Collision	Sport	"more than 69,000"	No	3	7	400	3	more than 30	more than 30	1	7 years	41 to 50	No	No	External	none	no change	1 vehicle	1994	Collision
Jun	2	Saturday	Toyota	Rural	Friday	Jul	1	Male	Married	65	Third Party	Sedan - Liability	Sport	"20,000 to 29,000"	No	4	4	400	2	more than 30	more than 30	1	more than 7	51 to 65	Yes	No	External	more than 5	no change	1 vehicle	1994	Liability
Jan	5	Monday	Honda	Urban	Tuesday	Feb	2	Female	Single	27	Third Party	Sport - Collision	Sport	"more than 69,000"	No	5	3	400	1	more than 30	more than 30	none	5 years	31 to 35	No	No	External	none	no change	1 vehicle	1994	Collision
Oct	4	Friday	Honda	Urban	Wednesday	Nov	1	Male	Single	20	Third Party	Sport - Collision	Sport	"more than 69,000"	No	6	12	400	3	more than 30	more than 30	none	5 years	21 to 25	No	No	External	3 to 5	no change	1 vehicle	1994	Collision
Feb	1	Saturday	Honda	Urban	Monday	Feb	3	Male	Married	36	Third Party	Sport - Collision	Sport	"more than 69,000"	No	7	14	400	1	more than 30	more than 30	1	7 years	36 to 40	No	No	External	1 to 2	no change	1 vehicle	1994	Collision
Nov	1	Friday	Honda	Urban	Tuesday	Mar	4	Male	Single	0	Policy Holder	Sport - Collision	Sport	"more than 69,000"	No	8	1	400	4	more than 30	more than 30	1	new	16 to 17	No	No	External	none	no change	1 vehicle	1994	Collision
Dec	4	Saturday	Honda	Urban	Wednesday	Dec	5	Male	Single	30	Policy Holder	Sport - Collision	Sport	"more than 69,000"	No	9	7	400	4	more than 30	more than 30	none	6 years	31 to 35	No	Yes	External	3 to 5	no change	1 vehicle	1994	Collision
Apr	3	Tuesday	Ford	Urban	Wednesday	Apr	3	Male	Married	42	Policy Holder	Utility - All Perils	Utility	"more than 69,000"	No	10	7	400	1	more than 30	more than 30	2 to 4	more than 7	36 to 40	No	No	External	3 to 5	no change	1 vehicle	1994	All Perils
